TIME;ACC[ROLL];GYRO[ROLL];ANGLE[ROLL];TARGET_ANGLE[ROLL];FRAME_ANGLE[ROLL];POWER[ROLL];ACC[PITCH];GYRO[PITCH];ANGLE[PITCH];TARGET_ANGLE[PITCH];FRAME_ANGLE[PITCH];POWER[PITCH];ACC[YAW];GYRO[YAW];ANGLE[YAW];TARGET_ANGLE[YAW];FRAME_ANGLE[YAW];POWER[YAW];RC_ROLL;RC_PITCH;RC_YAW;RC_CMD;EXT_FC_ROLL;EXT_FC_PITCH;BAT_VOLTAGE;RMS_ERR[ROLL];FREQ[ROLL];RMS_ERR[PITCH];FREQ[PITCH];RMS_ERR[YAW];FREQ[YAW]
02:06:07.226;-82;4;-8.76709;0.0;-8.76709;0;-6;-4;-1.40625;0.0;-2.0654297;0;505;-2;8.217773;0.0;0.0;0;;;;;;;0;3;59;2;61;1;210
02:06:07.273;-77;-11;-8.76709;0.0;-8.76709;0;-4;15;-1.40625;0.0;-2.0654297;0;507;0;8.217773;0.0;0.0;0;;;;;;;0;2;59;2;73;1;202
02:06:07.328;-80;-6;-8.76709;0.0;-8.76709;0;-6;11;-1.40625;0.0;-2.0654297;0;504;0;8.217773;0.0;0.0;0;;;;;;;0;11;58;6;71;1;201
02:06:07.377;-83;0;-8.76709;0.0;-8.76709;0;-6;0;-1.40625;0.0;-2.0654297;0;507;1;8.217773;0.0;0.0;0;;;;;;;0;7;58;3;70;0;204
02:06:07.424;-79;8;-8.76709;0.0;-8.76709;0;-4;-8;-1.40625;0.0;-2.109375;0;512;-1;8.217773;0.0;0.0;0;;;;;;;0;5;57;2;71;1;198
02:06:07.480;-79;10;-8.76709;0.0;-8.503418;0;-5;-16;-1.40625;0.0;-2.0214844;0;504;-1;8.217773;0.0;0.0;0;;;;;;;0;5;56;3;69;1;201
02:06:07.529;-80;1;-8.7890625;0.0;-7.998047;0;-6;-6;-1.40625;0.0;-1.8896484;0;507;-1;8.217773;0.0;0.0;0;;;;;;;0;9;56;5;67;1;194
02:06:07.577;-82;5;-8.7890625;0.0;-7.6245117;0;-5;-8;-1.4282227;0.0;-1.7797852;0;508;0;8.217773;0.0;0.0;0;;;;;;;0;6;55;4;66;1;194
02:06:07.633;-80;11;-8.811035;0.0;-7.294922;0;-6;-19;-1.4282227;0.0;-1.6918945;0;506;-1;8.217773;0.0;0.0;0;;;;;;;0;4;55;3;65;1;192
02:06:07.682;-83;2;-8.898926;0.0;-7.272949;0;-5;-8;-1.472168;0.0;-1.7358398;0;508;-1;8.217773;0.0;0.0;0;;;;;;;0;8;55;4;65;2;188
02:06:07.729;-78;10;-8.920898;0.0;-7.294922;0;-5;-39;-1.472168;0.0;-1.7578125;0;509;18;8.217773;0.0;0.0;0;;;;;;;0;8;54;4;63;1;181
02:06:07.786;-93;-32;-9.008789;0.0;-7.404785;0;-9;52;-1.4941406;0.0;-1.7797852;0;507;0;8.327637;0.0;0.0;0;;;;;;;0;12;53;9;62;7;177
02:06:07.834;-80;-2;-8.986816;0.0;-7.426758;0;-6;4;-1.4941406;0.0;-1.7797852;0;505;0;8.327637;0.0;0.0;0;;;;;;;0;21;51;11;60;12;173
02:06:07.891;-83;-11;-8.964844;0.0;-7.470703;0;-7;11;-1.472168;0.0;-1.7797852;0;507;3;8.327637;0.0;0.0;0;;;;;;;0;8;50;4;59;5;173
